1	20	20	CARD	CARD	_	2	attr	_	_
2	Merz	Merz	N	NE	Masc|Acc|Sg	15	obja	_	_
3	Computer	Computer	N	NN	Masc|Acc|Sg	2	app	_	_
4	Spezialist	Spezialist	N	NN	Masc|Acc|Sg	3	app	_	_
5	Obenwaldstrasse	Obenwaldstraße	N	NE	Fem|Acc|Sg	4	app	_	_
6	Sehr	sehr	ADV	ADV	_	7	adv	_	_
7	geehrte	geehrt	ADJA	ADJA	Pos|Fem|Acc|Pl|St|	8	attr	_	_
8	Damen	Dame	N	NN	Fem|Acc|Pl	5	app	_	_
9	und	und	KON	KON	_	8	kon	_	_
10	Herren	Herr	N	NN	Masc|Acc|_	9	cj	_	_
11	Laut	laut	PREP	APPR	Dat	10	pp	_	_
12	inserat	inserat	N	NE	_|Dat|_	11	pn	_	_
13	in	in	PREP	APPR	_	12	pp	_	_
14	Anzeige	Anzeige	N	NN	Fem|_|Sg	13	pn	_	_
15	bewerbe	bewerben	V	VVFIN	1|Sg|Pres|_	0	root	_	_
16	ich	ich	PRO	PPER	1|Sg|_|Nom	15	subj	_	_
17	mich	ich	PRO	PRF	1|Sg|Acc	0	root	_	_
18	um	um	PREP	APPR	Acc	0	root	_	_
19	die	die	ART	ART	Def|_|Acc|_	21	det	_	_
20	freie	frei	ADJA	ADJA	Pos|_|Acc|_|_|	21	attr	_	_
21	Arbeistelle	Arbeistelle	N	NN	_|Acc|_	18	pn	_	_
22	als	als	KOKOM	KOKOM	_	21	kom	_	_
23	Vertriebspraktikantin	Vertriebspraktikantin	N	NN	Fem|_|Sg	22	cj	_	_
24	.	.	$.	$.	_	0	root	_	_

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	_
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	in	in	PREP	APPR	_	2	pp	_	_
4	Serbien	Serbien	N	NE	Neut|_|Sg	3	pn	_	_
5	die	die	PRO	PDS	_|Acc|_	2	obja	_	_
6	,	,	$,	$,	_	0	root	_	_
7	Schule	Schule	N	NN	Fem|_|Sg	0	root	_	_
8	gelernt	lernen	V	VVPP	_	0	root	_	_
9	,	,	$,	$,	_	0	root	_	_
10	und	und	KON	KON	_	0	root	_	_
11	daher	daher	PROAV	PROAV	_	12	pp	_	_
12	ist	sein	V	VAFIN	3|Sg|Pres|Ind	10	cj	_	_
13	dieses	diese	ART	PDAT	Neut|Nom|Sg	14	det	_	_
14	Praktikum	Praktikum	N	NN	Neut|Nom|Sg	12	subj	_	_
15	genau	genau	ADV	ADJD	Pos|	12	adv	_	_
16	das	die	ART	ART	Def|Neut|Nom|Sg	17	det	_	_
17	Richtige	Richtige	N	NN	Neut|Nom|Sg	12	pred	_	_
18	für	für	PREP	APPR	Acc	17	pp	_	_
19	mich	ich	PRO	PPER	1|Sg|_|Acc	18	pn	_	_
20	.	.	$.	$.	_	0	root	_	_

1	Die	die	ART	ART	Def|Fem|_|Sg	2	det	_	_
2	Zusammenarbeit	Zusammenarbeit	N	NN	Fem|_|Sg	0	root	_	_
3	mit	mit	PREP	APPR	Dat	11	pp	_	_
4	verschiedenen	verschieden	ADJA	ADJA	Pos|_|_|Pl|Wk|	5	attr	_	_
5	Leute	Leute	N	NN	_|_|Pl	3	pn	_	_
6	und	und	KON	KON	_	5	kon	_	_
7	die	die	ART	ART	Def|Fem|_|Pl	8	det	_	_
8	Tätigkeiten	Tätigkeit	N	NN	Fem|_|Pl	6	cj	_	_
9	einer	eine	ART	ART	Indef|Fem|Gen|Sg	10	det	_	_
10	Systemkauffrau	Systemkauffrau	N	NN	Fem|Gen|Sg	8	gmod	_	_
11	bereitet	bereiten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
12	mir	ich	PRO	PPER	1|Sg|_|Dat	11	objd	_	_
13	grosse	groß	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	14	attr	_	_
14	Freude	Freude	N	NN	Fem|Nom|Sg	11	subj	_	_
15	Ich	ich	PRO	PPER	1|Sg|_|Nom	16	subj	_	_
16	bin	sein	V	VAFIN	1|Sg|Pres|Ind	11	s	_	_
17	alten	alt	ADJA	ADJA	Pos|_|Nom|Pl|Wk|	16	pred	_	_
18	,	,	$,	$,	_	0	root	_	_
19	kommunikativ	kommunikativ	ADV	ADJD	Pos|	0	root	_	_
20	und	und	KON	KON	_	0	root	_	_
21	eine	eine	ART	ART	Indef|Fem|_|Sg	23	det	_	_
22	motivierte	motiviert	ADJA	ADJA	Pos|Fem|_|Sg|_|	23	attr	_	_
23	Person	Person	N	NN	Fem|_|Sg	20	cj	_	_
24	.	.	$.	$.	_	0	root	_	_

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	_
2	leibe	leiben	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	es	es	PRO	PPER	3|Sg|Neut|Acc	2	obja	_	_
4	im	in	PREP	APPRART	Dat	2	pp	_	_
5	Team	Team	N	NN	Neut|Dat|Sg	4	pn	_	_
6	zusammenarbeiten	zusammenarbeiten	V	VVINF	_	0	root	_	_
7	und	und	KON	KON	_	0	root	_	_
8	schätze	schätzen	V	VVFIN	_|Sg|Pres|_	7	cj	_	_
