1	Integration	Integration	N	NN	Fem|_|Sg	8	vok	_	_
2	in	in	PREP	APPR	Acc	1	pp	_	_
3	ein	eine	ART	ART	Indef|Neut|Acc|Sg	4	det	_	_
4	Gastland	Gastland	N	NN	Neut|Acc|Sg	2	pn	_	_
5	Meines	meine	ART	PPOSAT	Neut|Gen|Sg	6	det	_	_
6	Erachtens	Erachten	N	NN	Neut|Gen|Sg	4	gmod	_	_
7	,	,	$,	$,	_	0	root	_	_
8	sollte	sollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
9	man	man	PRO	PIS	_|Nom|Sg	8	subj	_	_
10	an	an	PREP	APPR	Acc	15	pp	_	_
11	die	die	ART	ART	Def|Fem|Acc|Sg	12	det	_	_
12	Kultur	Kultur	N	NN	Fem|Acc|Sg	10	pn	_	_
13	des	die	ART	ART	Def|Neut|Gen|Sg	14	det	_	_
14	Gastlandes	Gastland	N	NN	Neut|Gen|Sg	12	gmod	_	_
15	integrieren	integrieren	V	VVINF	_	8	aux	_	_
16	.	.	$.	$.	_	0	root	_	_

1	Das	die	PRO	PDS	Neut|Nom|Sg	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	zurzeit	zurzeit	ADV	ADV	_	2	adv	_	_
4	die	die	ART	ART	Def|_|_|_	6	det	_	_
5	Größte	groß	ADJA	ADJA	Sup|_|Nom|_|_|	6	attr	_	_
6	Problem	Problem	N	NN	_|Nom|_	2	pred	_	_
7	in	in	PREP	APPR	_	6	pp	_	_
8	Deutschland	Deutschland	N	NE	Neut|_|Sg	7	pn	_	_
9	.	.	$.	$.	_	0	root	_	_

1	Man	man	PRO	PIS	_|Nom|Sg	2	subj	_	_
2	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	entweder	entweder	KON	KON	_	0	root	_	_
4	orientieren	orientieren	V	VVINF	_	0	root	_	_
5	oder	oder	KON	KON	_	0	root	_	_
6	zürückkehren	zürückkehren	N	NE	_	5	cj	_	_
7	.	.	$.	$.	_	0	root	_	_

1	Wenn	wenn	KOUS	KOUS	_	4	konj	_	_
2	man	man	PRO	PIS	_|Nom|Sg	4	subj	_	_
3	ausgewandert	auswandern	V	VVPP	_	4	aux	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	6	neb	_	_
5	,	,	$,	$,	_	0	root	_	_
