Daniela,Daniela N Fem|_|Sg,"Daniela , Ich möchte mit dich schwimmen ."
Hause,Hause N Neut|Dat|Sg,Kannst du mich nebenmeine Hause treffen ?
dichnach Arbeitet,dichnach N _|_|_,Arbeitet N _|_|_,Oder ich kann dichnach Arbeitet im Park treffen .
dichnach Arbeitet,dichnach N _|_|_,Arbeitet N _|_|_,Oder ich kann dichnach Arbeitet im Park treffen .
im Park,im PREP Dat,Park N Masc|Dat|Sg,Oder ich kann dichnach Arbeitet im Park treffen .
deine badenhose,deine ART _|Acc|_,badenhose N _|Acc|_,Du sollst deine badenhose ein Tuch und dein iPod mitbringen .
ein Tuch,ein ART Indef|Neut|Nom|Sg,Tuch N Neut|Nom|Sg,Du sollst deine badenhose ein Tuch und dein iPod mitbringen .
dein iPod,dein ART _|Nom|Sg,iPod N _|Nom|Sg,Du sollst deine badenhose ein Tuch und dein iPod mitbringen .
zu Musik,zu PREP Dat,Musik N Fem|Dat|Sg,Wir können zu Musik nach swimmen hören !
nach swimmen,nach PREP Dat,swimmen N _|Dat|_,Wir können zu Musik nach swimmen hören !
Maria,Maria N _|_|Sg,Maria
